date,time,speedKPH,rpm,batteryVoltage,batteryPercentage,windSpeed,temp
"06 Feb, 2025",01:14 PM,40,3000,340.07,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,340.15,99,8,30.5
"06 Feb, 2025",01:14 PM,40,3000,340.01,99,7,30.4
"06 Feb, 2025",01:14 PM,40,3000,339.93,99,8,30.3
"06 Feb, 2025",01:14 PM,40,3000,339.81,99,8,30.4
"06 Feb, 2025",01:14 PM,40,3000,340.09,99,8,30.5
"06 Feb, 2025",01:14 PM,40,3000,340.17,99,8,30.6
"06 Feb, 2025",01:14 PM,40,3000,340.09,99,8,30.4
"06 Feb, 2025",01:14 PM,40,3000,340.02,99,8,30.6
"06 Feb, 2025",01:14 PM,40,3000,339.86,99,8,30.7
"06 Feb, 2025",01:14 PM,40,3000,340.16,99,8,30.6
"06 Feb, 2025",01:14 PM,40,3000,339.95,99,8,30.5
"06 Feb, 2025",01:14 PM,40,3000,339.83,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,340.08,99,7,30.5
"06 Feb, 2025",01:14 PM,40,3000,340.07,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,340.15,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,340.06,99,7,30.4
"06 Feb, 2025",01:14 PM,40,3000,340.18,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,340.17,99,7,30.7
"06 Feb, 2025",01:14 PM,40,3000,339.8,99,7,30.5
"06 Feb, 2025",01:14 PM,40,3000,340.16,99,8,30.6
"06 Feb, 2025",01:14 PM,40,3000,339.98,99,7,30.5
"06 Feb, 2025",01:14 PM,40,3000,340.1,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,339.89,99,7,30.5
"06 Feb, 2025",01:14 PM,40,3000,340.08,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,340.13,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,339.92,99,7,30.4
"06 Feb, 2025",01:14 PM,40,3000,339.87,99,7,30.4
"06 Feb, 2025",01:14 PM,40,3000,339.88,99,7,30.5
"06 Feb, 2025",01:14 PM,40,3000,340.19,99,8,30.6
"06 Feb, 2025",01:14 PM,40,3000,339.84,99,7,30.7
"06 Feb, 2025",01:14 PM,40,3000,340.16,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,340.18,99,7,30.8
"06 Feb, 2025",01:14 PM,40,3000,339.93,99,7,30.9
"06 Feb, 2025",01:14 PM,40,3000,340.11,99,7,31.1
"06 Feb, 2025",01:14 PM,40,3000,340.08,99,7,31.1
"06 Feb, 2025",01:14 PM,40,3000,340.16,99,7,31.1
"06 Feb, 2025",01:14 PM,40,3000,340.15,99,7,30.9
"06 Feb, 2025",01:14 PM,40,3000,340.02,99,6,30.7
"06 Feb, 2025",01:14 PM,40,3000,340.09,99,6,30.9
"06 Feb, 2025",01:14 PM,40,3000,339.92,99,7,30.8
"06 Feb, 2025",01:14 PM,40,3000,340.08,99,7,30.8
"06 Feb, 2025",01:14 PM,40,3000,339.97,99,7,30.6
"06 Feb, 2025",01:14 PM,40,3000,339.97,99,7,30.7
"06 Feb, 2025",01:14 PM,40,3000,340.16,99,6,30.6
"06 Feb, 2025",01:14 PM,40,3000,339.94,99,6,30.5
"06 Feb, 2025",01:14 PM,40,3000,340.05,99,6,30.7
"06 Feb, 2025",01:14 PM,40,3000,339.9,99,5,30.7
"06 Feb, 2025",01:15 PM,40,3000,340.19,99,5,30.6
"06 Feb, 2025",01:15 PM,40,3000,340.13,99,4,30.8
"06 Feb, 2025",01:15 PM,40,3000,339.82,99,4,30.9
"06 Feb, 2025",01:15 PM,40,3000,340.19,99,4,31.1
"06 Feb, 2025",01:15 PM,40,3000,339.94,99,4,31.1
"06 Feb, 2025",01:15 PM,40,3000,340.08,99,4,31.0
"06 Feb, 2025",01:15 PM,40,3000,340.14,99,4,30.9
"06 Feb, 2025",01:15 PM,40,3000,339.9,99,4,30.9
"06 Feb, 2025",01:15 PM,40,3000,340.16,99,4,30.8
"06 Feb, 2025",01:15 PM,40,3000,340.16,99,4,31.0
"06 Feb, 2025",01:15 PM,40,3000,339.94,99,4,30.8
"06 Feb, 2025",01:15 PM,40,3000,339.98,99,5,30.8
"06 Feb, 2025",01:15 PM,40,3000,340.01,99,5,30.9
"06 Feb, 2025",01:15 PM,40,3000,339.89,99,5,30.9
"06 Feb, 2025",01:15 PM,40,3000,339.89,99,5,30.8
"06 Feb, 2025",01:15 PM,40,3000,339.84,99,5,30.8
"06 Feb, 2025",01:15 PM,40,3000,339.83,99,5,30.6
"06 Feb, 2025",01:15 PM,40,3000,339.93,99,5,30.8
"06 Feb, 2025",01:15 PM,40,3000,339.81,99,6,30.8
"06 Feb, 2025",01:15 PM,40,3000,339.91,99,6,31.0
"06 Feb, 2025",01:15 PM,40,3000,339.87,99,5,30.8
"06 Feb, 2025",01:15 PM,40,3000,340.17,99,5,30.8
"06 Feb, 2025",01:15 PM,40,3000,339.96,99,6,30.8
"06 Feb, 2025",01:15 PM,40,3000,340.1,99,5,30.9
"06 Feb, 2025",01:15 PM,40,3000,339.95,99,5,30.7
"06 Feb, 2025",01:15 PM,40,3000,340.01,99,5,30.8
"06 Feb, 2025",01:15 PM,40,3000,340.19,99,6,30.9
"06 Feb, 2025",01:15 PM,40,3000,340.19,99,6,30.7
"06 Feb, 2025",01:15 PM,40,3000,339.92,99,6,30.7
"06 Feb, 2025",01:15 PM,40,3000,339.89,99,6,30.7
"06 Feb, 2025",01:15 PM,40,3000,339.83,99,7,30.6
"06 Feb, 2025",01:15 PM,40,3000,339.97,99,6,30.5
"06 Feb, 2025",01:15 PM,40,3000,340.03,99,7,30.4
"06 Feb, 2025",01:15 PM,40,3000,340.13,99,6,30.2
"06 Feb, 2025",01:15 PM,40,3000,340.06,99,6,30.3
"06 Feb, 2025",01:15 PM,40,3000,339.86,99,6,30.3
"06 Feb, 2025",01:15 PM,40,3000,340.16,99,6,30.4
"06 Feb, 2025",01:15 PM,40,3000,339.81,99,6,30.2
"06 Feb, 2025",01:15 PM,40,3000,339.81,99,7,30.1
"06 Feb, 2025",01:15 PM,40,3000,339.82,99,7,30.0
"06 Feb, 2025",01:15 PM,40,3000,340.0,99,7,30.2
"06 Feb, 2025",01:15 PM,40,3000,340.01,99,7,30.1
"06 Feb, 2025",01:15 PM,40,3000,340.0,99,8,30.0
"06 Feb, 2025",01:15 PM,40,3000,339.81,99,8,29.9
"06 Feb, 2025",01:15 PM,40,3000,340.05,99,8,30.1
"06 Feb, 2025",01:15 PM,40,3000,339.91,99,7,29.9
"06 Feb, 2025",01:15 PM,40,3000,339.83,99,7,30.0
"06 Feb, 2025",01:15 PM,40,3000,339.86,99,7,29.9
"06 Feb, 2025",01:15 PM,40,3000,339.89,99,7,30.1
"06 Feb, 2025",01:15 PM,40,3000,340.17,99,7,30.2
"06 Feb, 2025",01:15 PM,40,3000,340.14,99,7,30.1
"06 Feb, 2025",01:15 PM,40,3000,340.09,99,7,30.1
"06 Feb, 2025",01:15 PM,40,3000,340.01,99,7,30.0
"06 Feb, 2025",01:15 PM,40,3000,339.94,99,8,29.9
"06 Feb, 2025",01:15 PM,40,3000,339.9,99,7,30.1
"06 Feb, 2025",01:15 PM,40,3000,340.18,99,7,30.2
"06 Feb, 2025",01:15 PM,40,3000,340.0,99,7,30.2
"06 Feb, 2025",01:15 PM,40,3000,339.93,99,7,30.2
"06 Feb, 2025",01:15 PM,40,3000,340.08,99,7,30.1
"06 Feb, 2025",01:15 PM,40,3000,340.11,99,7,30.2
"06 Feb, 2025",01:16 PM,40,3000,339.87,99,7,30.2
"06 Feb, 2025",01:16 PM,40,3000,340.01,99,8,30.3
"06 Feb, 2025",01:16 PM,40,3000,339.96,99,8,30.2
"06 Feb, 2025",01:16 PM,40,3000,340.1,99,8,30.0
"06 Feb, 2025",01:16 PM,40,3000,339.87,99,7,29.9
"06 Feb, 2025",01:16 PM,40,3000,340.06,99,7,30.1
"06 Feb, 2025",01:16 PM,40,3000,339.85,99,7,30.2
"06 Feb, 2025",01:16 PM,40,3000,340.15,99,7,30.1
"06 Feb, 2025",01:16 PM,40,3000,339.8,99,7,30.2
"06 Feb, 2025",01:16 PM,40,3000,340.04,99,7,30.0
"06 Feb, 2025",01:16 PM,40,3000,339.89,99,7,30.0
"06 Feb, 2025",01:16 PM,40,3000,339.94,99,7,30.3
"06 Feb, 2025",01:16 PM,40,3000,340.07,99,8,30.5
"06 Feb, 2025",01:16 PM,40,3000,340.04,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,339.85,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,340.19,99,8,30.7
"06 Feb, 2025",01:16 PM,40,3000,339.84,99,8,30.7
"06 Feb, 2025",01:16 PM,40,3000,339.83,99,8,30.7
"06 Feb, 2025",01:16 PM,40,3000,339.9,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,339.89,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,340.07,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,339.89,99,8,30.7
"06 Feb, 2025",01:16 PM,40,3000,340.11,99,9,30.9
"06 Feb, 2025",01:16 PM,40,3000,340.15,99,8,30.8
"06 Feb, 2025",01:16 PM,40,3000,340.13,99,8,30.9
"06 Feb, 2025",01:16 PM,40,3000,340.07,99,8,31.0
"06 Feb, 2025",01:16 PM,40,3000,339.87,99,8,30.9
"06 Feb, 2025",01:16 PM,40,3000,339.99,99,9,30.9
"06 Feb, 2025",01:16 PM,40,3000,339.8,99,8,31.1
"06 Feb, 2025",01:16 PM,40,3000,339.94,99,8,31.0
"06 Feb, 2025",01:16 PM,40,3000,339.84,99,9,30.8
"06 Feb, 2025",01:16 PM,40,3000,339.95,99,8,30.9
"06 Feb, 2025",01:16 PM,40,3000,340.03,99,8,30.8
"06 Feb, 2025",01:16 PM,40,3000,340.15,99,8,30.9
"06 Feb, 2025",01:16 PM,40,3000,340.12,99,8,31.0
"06 Feb, 2025",01:16 PM,40,3000,340.05,99,8,31.1
"06 Feb, 2025",01:16 PM,40,3000,340.01,99,8,30.9
"06 Feb, 2025",01:16 PM,40,3000,339.99,99,8,30.7
"06 Feb, 2025",01:16 PM,40,3000,339.87,99,7,30.8
"06 Feb, 2025",01:16 PM,40,3000,339.85,99,7,30.8
"06 Feb, 2025",01:16 PM,40,3000,340.13,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,339.86,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,340.01,99,8,30.5
"06 Feb, 2025",01:16 PM,40,3000,339.8,99,8,30.3
"06 Feb, 2025",01:16 PM,40,3000,340.07,99,8,30.2
"06 Feb, 2025",01:16 PM,40,3000,340.05,99,8,30.4
"06 Feb, 2025",01:16 PM,40,3000,339.89,99,7,30.5
"06 Feb, 2025",01:16 PM,40,3000,339.81,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,339.82,99,8,30.7
"06 Feb, 2025",01:16 PM,40,3000,340.08,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,340.08,99,8,30.8
"06 Feb, 2025",01:16 PM,40,3000,340.03,99,9,31.0
"06 Feb, 2025",01:16 PM,40,3000,339.89,99,8,30.8
"06 Feb, 2025",01:16 PM,40,3000,340.17,99,8,30.7
"06 Feb, 2025",01:16 PM,40,3000,340.02,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,339.97,99,8,30.5
"06 Feb, 2025",01:16 PM,40,3000,340.13,99,7,30.6
"06 Feb, 2025",01:16 PM,40,3000,340.1,99,8,30.6
"06 Feb, 2025",01:16 PM,40,3000,339.87,99,7,30.7
"06 Feb, 2025",01:16 PM,40,3000,340.11,99,7,30.7
"06 Feb, 2025",01:17 PM,40,3000,339.81,99,7,30.8
"06 Feb, 2025",01:17 PM,40,3000,340.06,99,7,30.6
"06 Feb, 2025",01:17 PM,40,3000,340.08,99,7,30.7
"06 Feb, 2025",01:17 PM,40,3000,339.8,99,7,30.8
"06 Feb, 2025",01:17 PM,40,3000,339.99,99,6,30.8
"06 Feb, 2025",01:17 PM,40,3000,339.92,99,7,31.0
"06 Feb, 2025",01:17 PM,40,3000,339.99,99,7,30.8
"06 Feb, 2025",01:17 PM,40,3000,340.15,99,7,30.9
"06 Feb, 2025",01:17 PM,40,3000,340.03,99,8,30.9
"06 Feb, 2025",01:17 PM,40,3000,340.0,99,7,30.8
"06 Feb, 2025",01:17 PM,40,3000,340.18,99,8,30.6
"06 Feb, 2025",01:17 PM,40,3000,340.08,99,8,30.5
"06 Feb, 2025",01:17 PM,40,3000,339.95,99,8,30.7
"06 Feb, 2025",01:17 PM,40,3000,339.89,99,8,30.6
"06 Feb, 2025",01:17 PM,40,3000,340.1,99,9,30.6
"06 Feb, 2025",01:17 PM,40,3000,339.96,99,9,30.7
"06 Feb, 2025",01:17 PM,40,3000,340.07,99,9,30.6
"06 Feb, 2025",01:17 PM,40,3000,340.11,99,8,30.5
"06 Feb, 2025",01:17 PM,40,3000,339.89,99,8,30.5
"06 Feb, 2025",01:17 PM,40,3000,339.94,99,8,30.4
"06 Feb, 2025",01:17 PM,40,3000,340.14,99,8,30.2
"06 Feb, 2025",01:17 PM,40,3000,340.17,99,8,30.1
"06 Feb, 2025",01:17 PM,40,3000,339.98,99,8,30.1
"06 Feb, 2025",01:17 PM,40,3000,340.13,99,8,30.1
"06 Feb, 2025",01:17 PM,40,3000,340.07,99,8,30.0
"06 Feb, 2025",01:17 PM,40,3000,340.05,99,8,30.2
"06 Feb, 2025",01:17 PM,40,3000,340.17,99,8,30.4
"06 Feb, 2025",01:17 PM,40,3000,339.89,99,9,30.3
"06 Feb, 2025",01:17 PM,40,3000,340.0,99,9,30.4
"06 Feb, 2025",01:17 PM,40,3000,339.91,99,9,30.5
"06 Feb, 2025",01:17 PM,40,3000,339.86,99,10,30.5
"06 Feb, 2025",01:17 PM,40,3000,340.11,99,9,30.5
"06 Feb, 2025",01:17 PM,40,3000,339.99,99,9,30.6
"06 Feb, 2025",01:17 PM,40,3000,339.9,99,9,30.5
"06 Feb, 2025",01:17 PM,40,3000,340.01,99,9,30.3
"06 Feb, 2025",01:17 PM,40,3000,339.85,99,8,30.5
"06 Feb, 2025",01:17 PM,40,3000,340.11,99,8,30.5
"06 Feb, 2025",01:17 PM,40,3000,340.1,99,8,30.3
"06 Feb, 2025",01:17 PM,40,3000,339.89,99,8,30.3
"06 Feb, 2025",01:17 PM,40,3000,339.94,99,8,30.4
"06 Feb, 2025",01:17 PM,40,3000,340.05,99,8,30.5
"06 Feb, 2025",01:17 PM,40,3000,339.85,99,8,30.5
"06 Feb, 2025",01:17 PM,40,3000,339.96,99,9,30.3
"06 Feb, 2025",01:17 PM,40,3000,339.85,99,9,30.1
"06 Feb, 2025",01:17 PM,40,3000,339.83,99,8,30.0
"06 Feb, 2025",01:17 PM,40,3000,339.94,99,8,29.9
"06 Feb, 2025",01:17 PM,40,3000,340.14,99,8,30.3
"06 Feb, 2025",01:17 PM,40,3000,340.18,99,8,30.3
"06 Feb, 2025",01:17 PM,40,3000,340.05,99,8,30.4
"06 Feb, 2025",01:17 PM,40,3000,340.05,99,7,30.5
"06 Feb, 2025",01:17 PM,40,3000,340.07,99,7,30.4
"06 Feb, 2025",01:17 PM,40,3000,340.02,99,7,30.5
"06 Feb, 2025",01:17 PM,40,3000,339.83,99,8,30.4
"06 Feb, 2025",01:17 PM,40,3000,340.04,99,8,30.3
"06 Feb, 2025",01:17 PM,40,3000,339.88,99,7,30.3
"06 Feb, 2025",01:17 PM,40,3000,340.1,99,8,30.4
"06 Feb, 2025",01:17 PM,40,3000,339.87,99,7,30.6
"06 Feb, 2025",01:17 PM,40,3000,339.93,99,7,30.8
"06 Feb, 2025",01:17 PM,40,3000,340.07,99,7,30.8
"06 Feb, 2025",01:17 PM,40,3000,339.91,99,7,30.9
"06 Feb, 2025",01:18 PM,40,3000,339.94,99,6,31.0
"06 Feb, 2025",01:18 PM,40,3000,340.14,99,7,31.1
"06 Feb, 2025",01:18 PM,40,3000,339.97,99,7,31.1
"06 Feb, 2025",01:18 PM,40,3000,340.13,99,7,31.2
"06 Feb, 2025",01:18 PM,40,3000,339.8,99,7,31.1
"06 Feb, 2025",01:18 PM,40,3000,339.89,99,7,31.1
"06 Feb, 2025",01:18 PM,40,3000,339.84,99,7,31.2
"06 Feb, 2025",01:18 PM,40,3000,340.15,99,7,31.1
"06 Feb, 2025",01:18 PM,40,3000,339.98,99,7,31.3
"06 Feb, 2025",01:18 PM,40,3000,339.8,99,7,31.4
"06 Feb, 2025",01:18 PM,40,3000,339.8,99,7,31.3
"06 Feb, 2025",01:18 PM,40,3000,339.99,99,8,31.1
"06 Feb, 2025",01:18 PM,40,3000,339.83,99,7,31.2
"06 Feb, 2025",01:18 PM,40,3000,340.17,99,7,31.1
"06 Feb, 2025",01:18 PM,40,3000,340.0,99,7,31.1
"06 Feb, 2025",01:18 PM,40,3000,339.88,99,7,31.1
"06 Feb, 2025",01:18 PM,40,3000,340.16,99,8,31.1
"06 Feb, 2025",01:18 PM,40,3000,339.82,99,8,31.0
"06 Feb, 2025",01:18 PM,40,3000,340.16,99,7,30.9
"06 Feb, 2025",01:18 PM,40,3000,339.94,99,8,31.0
"06 Feb, 2025",01:18 PM,40,3000,340.08,99,8,31.1
"06 Feb, 2025",01:18 PM,40,3000,339.8,99,8,31.3
"06 Feb, 2025",01:18 PM,40,3000,339.87,99,8,31.4
"06 Feb, 2025",01:18 PM,40,3000,339.85,99,8,31.4
"06 Feb, 2025",01:18 PM,40,3000,339.95,99,9,31.2
"06 Feb, 2025",01:18 PM,40,3000,340.07,99,9,31.1
"06 Feb, 2025",01:18 PM,40,3000,339.84,99,9,31.2
"06 Feb, 2025",01:18 PM,40,3000,340.08,99,9,31.0
"06 Feb, 2025",01:18 PM,40,3000,340.05,99,9,31.2
"06 Feb, 2025",01:18 PM,40,3000,339.91,99,9,31.1
"06 Feb, 2025",01:18 PM,40,3000,340.15,99,9,31.0
"06 Feb, 2025",01:18 PM,40,3000,339.93,99,9,30.9
"06 Feb, 2025",01:18 PM,40,3000,339.8,99,9,31.0
"06 Feb, 2025",01:18 PM,40,3000,340.09,99,10,31.0
"06 Feb, 2025",01:18 PM,40,3000,340.09,99,10,30.9
"06 Feb, 2025",01:18 PM,40,3000,339.87,99,10,30.8
"06 Feb, 2025",01:18 PM,40,3000,339.81,99,10,30.9
"06 Feb, 2025",01:18 PM,40,3000,339.95,99,9,30.9
"06 Feb, 2025",01:18 PM,40,3000,339.83,99,9,30.8
"06 Feb, 2025",01:18 PM,40,3000,339.93,99,9,30.9
"06 Feb, 2025",01:18 PM,40,3000,339.99,99,9,30.9
"06 Feb, 2025",01:18 PM,40,3000,340.02,99,9,30.8
"06 Feb, 2025",01:18 PM,40,3000,339.9,99,9,30.7
"06 Feb, 2025",01:18 PM,40,3000,340.06,99,9,30.8
"06 Feb, 2025",01:18 PM,40,3000,340.03,99,10,30.8
"06 Feb, 2025",01:18 PM,40,3000,339.96,99,9,30.7
"06 Feb, 2025",01:18 PM,40,3000,340.02,99,9,30.8
"06 Feb, 2025",01:18 PM,40,3000,339.91,99,9,30.7
"06 Feb, 2025",01:18 PM,40,3000,339.98,99,9,30.5
"06 Feb, 2025",01:18 PM,40,3000,340.0,99,8,30.5
"06 Feb, 2025",01:18 PM,40,3000,339.85,99,9,30.6
"06 Feb, 2025",01:18 PM,40,3000,339.93,99,9,30.6
"06 Feb, 2025",01:18 PM,40,3000,340.1,99,9,30.4
"06 Feb, 2025",01:18 PM,40,3000,340.02,99,10,30.4
"06 Feb, 2025",01:18 PM,40,3000,339.96,99,10,30.5
"06 Feb, 2025",01:18 PM,40,3000,339.86,99,10,30.6
"06 Feb, 2025",01:18 PM,40,3000,339.98,99,10,30.6
"06 Feb, 2025",01:18 PM,40,3000,340.01,99,9,30.7
"06 Feb, 2025",01:18 PM,40,3000,339.95,99,10,30.7
"06 Feb, 2025",01:18 PM,40,3000,340.1,99,10,30.9
"06 Feb, 2025",01:19 PM,40,3000,339.98,99,10,30.9
"06 Feb, 2025",01:19 PM,40,3000,339.94,99,10,30.9
"06 Feb, 2025",01:19 PM,40,3000,340.12,99,10,30.8
"06 Feb, 2025",01:19 PM,40,3000,339.83,99,11,30.7
"06 Feb, 2025",01:19 PM,40,3000,340.08,99,10,30.9
"06 Feb, 2025",01:19 PM,40,3000,340.14,99,11,31.1
"06 Feb, 2025",01:19 PM,40,3000,339.95,99,11,31.3
"06 Feb, 2025",01:19 PM,40,3000,339.83,99,11,31.2
"06 Feb, 2025",01:19 PM,40,3000,339.95,99,10,31.1
"06 Feb, 2025",01:19 PM,40,3000,339.99,99,10,31.1
"06 Feb, 2025",01:19 PM,40,3000,340.02,99,11,31.1
"06 Feb, 2025",01:19 PM,40,3000,340.08,99,11,30.9
"06 Feb, 2025",01:19 PM,40,3000,339.85,99,10,31.0
"06 Feb, 2025",01:19 PM,40,3000,340.08,99,10,31.1
"06 Feb, 2025",01:19 PM,40,3000,340.05,99,10,31.0
"06 Feb, 2025",01:19 PM,40,3000,339.96,99,11,31.2
"06 Feb, 2025",01:19 PM,40,3000,340.14,99,11,31.1
"06 Feb, 2025",01:19 PM,40,3000,340.13,99,11,31.2
"06 Feb, 2025",01:19 PM,40,3000,339.92,99,11,31.2
"06 Feb, 2025",01:19 PM,40,3000,339.9,99,11,31.1
"06 Feb, 2025",01:19 PM,40,3000,339.96,99,11,31.1
"06 Feb, 2025",01:19 PM,40,3000,340.06,99,11,31.1
"06 Feb, 2025",01:19 PM,40,3000,339.87,99,10,31.2
"06 Feb, 2025",01:19 PM,40,3000,340.05,99,10,31.0
"06 Feb, 2025",01:19 PM,40,3000,339.85,99,10,31.2
"06 Feb, 2025",01:19 PM,40,3000,339.95,99,9,31.4
"06 Feb, 2025",01:19 PM,40,3000,339.89,99,9,31.3
"06 Feb, 2025",01:19 PM,40,3000,339.83,99,9,31.4
"06 Feb, 2025",01:19 PM,40,3000,339.88,99,10,31.4
"06 Feb, 2025",01:19 PM,40,3000,340.13,99,10,31.6
"06 Feb, 2025",01:19 PM,40,3000,339.8,99,10,31.7
"06 Feb, 2025",01:19 PM,40,3000,340.02,99,10,31.8
"06 Feb, 2025",01:19 PM,40,3000,340.02,99,10,31.8
"06 Feb, 2025",01:19 PM,40,3000,339.87,99,10,31.6
"06 Feb, 2025",01:19 PM,40,3000,339.92,99,10,31.6
"06 Feb, 2025",01:19 PM,40,3000,340.02,99,10,31.7
"06 Feb, 2025",01:19 PM,40,3000,340.0,99,10,31.7
"06 Feb, 2025",01:19 PM,40,3000,340.02,99,10,31.7
"06 Feb, 2025",01:19 PM,40,3000,340.03,99,10,31.9
"06 Feb, 2025",01:19 PM,40,3000,339.97,99,10,31.8
"06 Feb, 2025",01:19 PM,40,3000,339.86,99,10,31.9
"06 Feb, 2025",01:19 PM,40,3000,339.97,99,10,31.8
"06 Feb, 2025",01:19 PM,40,3000,340.02,99,10,31.9
"06 Feb, 2025",01:19 PM,40,3000,340.17,99,10,32.0
"06 Feb, 2025",01:19 PM,40,3000,340.07,99,10,32.0
"06 Feb, 2025",01:19 PM,40,3000,340.13,99,10,32.1
"06 Feb, 2025",01:19 PM,40,3000,339.91,99,10,32.2
"06 Feb, 2025",01:19 PM,40,3000,340.13,99,10,32.0
"06 Feb, 2025",01:19 PM,40,3000,340.07,99,10,32.1
"06 Feb, 2025",01:19 PM,40,3000,340.13,99,10,32.2
"06 Feb, 2025",01:19 PM,40,3000,339.8,99,10,32.0
"06 Feb, 2025",01:19 PM,40,3000,339.87,99,9,32.1
"06 Feb, 2025",01:19 PM,40,3000,340.11,99,9,32.3
"06 Feb, 2025",01:19 PM,40,3000,339.98,99,9,32.2
"06 Feb, 2025",01:19 PM,40,3000,340.06,99,10,32.3
"06 Feb, 2025",01:19 PM,40,3000,340.11,99,10,32.2
"06 Feb, 2025",01:19 PM,40,3000,340.11,99,10,32.1
"06 Feb, 2025",01:19 PM,40,3000,339.91,99,10,32.0
"06 Feb, 2025",01:19 PM,40,3000,339.93,99,10,32.1
"06 Feb, 2025",01:19 PM,40,3000,339.98,99,10,31.9
"06 Feb, 2025",01:20 PM,40,3000,339.95,99,10,31.9
"06 Feb, 2025",01:20 PM,40,3000,340.1,99,10,31.9
